// Contiene le regole utilizzate da Sequenze per compilare il file;;;;;;;;;;;;
// ayv.txt che verrà poi usato per chiamare il plug-in adatto;;;;;;;;;;;;
// ad elaborare una determinata immagine;;;;;;;;;;;;
// al posto del punto e virgola metto il carattere §;;;;;;;;;;;;
// N.B. si hanno 4 directions vup verticale a crescere, vdw vertivale a scendere ;;;;;;;;;;;;
// hsx orizz. verso sx, hdx orizz. verso dx                  ;;;;;;;;;;;;
// CODICE;COMMENTO;DA PASSARE;TOTALI;IMAORDER;IMA_INCR;SPARE_1;SPARE_2;SPARE_3;COIL;DIRECTION;DEPTH;PLUGIN
//SIEMENS SIMPHONY +  AVANTO;;;;;;;;;;;;
// BODY;;;;;;;;;;;;
HUSCA;Uniformità Coronale Head;2;2;0;0;777;888;999;H34;x;30;p10rmn_
HUSCA;Uniformità Coronale Head;2;2;0;0;777;888;999;H41;x;30;p10rmn_
HUSCA;Uniformità Coronale Head;2;2;0;0;777;888;999;H42;x;30;p10rmn_
HUSCA;Uniformità Coronale Head;2;2;0;0;777;888;999;H43;x;30;p10rmn_
HUSCA;Uniformità Coronale Head;2;2;0;0;777;888;999;H44;x;30;p10rmn_
HUSCA;Uniformità Coronale Head;2;2;0;0;777;888;999;HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
// AVANTO SAVE UNCOMBINED;;;;;;;;;;;;
// RISERVIAMO IL CODICE HXSA_ HXSS_ HXSC_ perchè sostituito in vba a questi;;;;;;;;;;;;
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE1;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE2;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE3;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE4;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;C:HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
HUSSA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE1;x;30;p10rmn_
HUSSA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE2;x;30;p10rmn_
HUSSA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE3;x;30;p10rmn_
HUSSA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE4;x;30;p10rmn_
HUSSA;Uniformità Assiale Head;2;2;0;0;777;888;999;C:HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
HUSCA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE1;x;30;p10rmn_
HUSCA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE2;x;30;p10rmn_
HUSCA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE3;x;30;p10rmn_
HUSCA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE4;x;30;p10rmn_
HUSCA;Uniformità Assiale Head;2;2;0;0;777;888;999;C:HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
// SYMPHONY SAVE UNCOMBINED;;;;;;;;;;;;
// RISERVIAMO IL CODICE HXSA_ HXSS_ HXSC_ perchè sostituito in vba a questi;;;;;;;;;;;;
//  per i clusters separati  abbiamo lo stesso codice dll'AVANTO (HE1 HE2 HE3 HE4);;;;;;;;;;;;
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;t:HE1-4;x;30;p12rmn_
HUSSA;Uniformità Assiale Head;2;2;0;0;777;888;999;t:HE1-4;x;30;p12rmn_
HUSCA;Uniformità Assiale Head;2;2;0;0;777;888;999;t:HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
// usata per ripetizioni aera ;;;;;;;;;;;;
//;;;;;;;;;;;;
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H11;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H12;x;30;p10rmn_
HUS1A;Uniformità Assiale Head;4;4;0;0;777;888;999;H13;x;30;p10rmn_
